abstract	id	paper_ref	title	presenters	authors	affiliations	topic
abstract_0269.html	525	P4-05	Electoral volatility – what can we learn from panel data?	Michal Kotnarowski	Michal Kotnarowski	Institute of Philosophy and Sociology, Polish Academy of Sciences	Elections, Public Opinion, and Voting Behaviour
abstract_0268.html	173	P4-05	Protest as one political act in participation repertoires: A latent class analysis of the relationship between civic duty and protest	Jennifer Oser	Jennifer Oser	Ben-Gurion University	Political Methodology
abstract_0267.html	604	P4-05	Using the Space to (not) Voicing Preferences: Empirical Evidence From Catalonia	Manuel Sola Rodríguez	Manuel Sola Rodríguez	European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0266.html	296	P4-05	What is the fuss all about? Testing the impact of high-information environments on people's knowledge about the EU	Ronja Sczepanski	Ronja Sczepanski	ETH Zurich	Elections, Public Opinion, and Voting Behaviour
abstract_0265.html	67	P4-05	Seeking for Shelter: The Sectoral Basis of Economic Voting in Austria	David Wineroither	David Wineroither, Florian Weiler, Simon Fink	Center for Social Sciences, Budapest	Political Economy, Public Policy and Administration
abstract_0264.html	568	P4-05	The Limits of Populist Parties at Power during the Times of Crisis	Petr Just, Jakub Charvát	Petr Just, Jakub Charvát	Metropolitan University Prague	Comparative Politics
abstract_0263.html	593	P4-05	What kind of EU do the citizens want? Studying multi-dimensional institutional preferences using conjoint survey experiments	Constantin Schäfer, Bernd Schlipphak, Oliver Treib	Constantin Schäfer, Bernd Schlipphak, Oliver Treib	University of Münster	Elections, Public Opinion, and Voting Behaviour
abstract_0262.html	432	P4-05	Fragmented Sovereignty After Conflict: A Survey Experiment in Iraq	Kristen Kao	Kristen Kao (1), Mara Revkin (2)	1. University of Gothenburg, 2. Georgetown University	International Relations and Conflict
abstract_0261.html	21	P4-04	Polling Station Size and Electoral Outcomes	Resul Umit	Resul Umit	University of Oslo	Elections, Public Opinion, and Voting Behaviour
abstract_0260.html	78	P4-04	Effects of Assigned Collaboration on Student Performance: Results from an Experiment	Elena Llaudet	Elena Llaudet	Suffolk University	Political Methodology
abstract_0259.html	122	P4-04	Beyond the government-opposition divide: Opposition parties' systemic role and their parliamentary behavior in multilevel systems	Dominic Nyhuis	Dominic Nyhuis (1), Sebastian Block (2), Martin Gross (2), Jan Velimsky (2)	1. University of North Carolina at Chapel Hill, 2. LMU Munich	Legislative Studies and Party Politics
abstract_0258.html	546	P4-04	To Resign or Not to Resign: Why Incumbents Ignore Peaceful Mass Protests?	Nina Barzachka	Nina Barzachka	College of the Holy Cross	Comparative Politics
abstract_0257.html	372	P4-04	Tweeting about the environment in a European campaign. Are candidates to the European Parliament responsive to citizens’ environmental concerns?	Clara Fauli Molas	Clara Fauli Molas	Trinity College Dublin	Elections, Public Opinion, and Voting Behaviour
abstract_0256.html	584	P4-04	Attitudes Regarding Cooperation with Extremist, Anti-democratic Parties in National and European Politics	Jonathan Slapin	Jonathan Slapin (1), Michele Fenzl (1), R. Daniel Kelemen (2), Pit Rieger (1)	1. University of Zurich, 2. Rutgers University	EU Politics
abstract_0255.html	220	P4-04	Don’t Promise What You Won’t Deliver: Policy-Making in Coalition Governments	Anthea Alberto	Heike Klüver, Anthea Alberto, Fabio Ellger	Humboldt-Universität zu Berlin	Comparative Politics
abstract_0254.html	561	P4-04	Retrospective Voting under Supranational Constraints	Ignacio Jurado	Ignacio Jurado, Pablo Fernandez-Vazquez	Universidad Carlos III	Elections, Public Opinion, and Voting Behaviour
abstract_0253.html	504	P4-04	How the communication of deferred enforcement affects compliance. A field experiment during the COVID-19 crisis in Uruguay	Irene Menendez	Santiago López-Cariboni (1), Sarah Berens (2), Irene Menendez (3), Armin von Schiller (4)	1. Universidad de la República (Uruguay), 2. University of Innsbruck,, 3. IE University Madrid, 4. Deutsches Institut für Entwicklungspolitik/ German Development Institute (DIE)	Political Economy, Public Policy and Administration
abstract_0252.html	607	P4-04	Campaign Donations, Family Loyalty, and Kickbacks	Nelson Ruiz	Nelson Ruiz (2), Miguel Rueda (1)	1. Emory University, 2. University of Oxford	Comparative Politics
abstract_0251.html	452	P4-04	Responding to Change? Analysing the Complexity of European Parliament Election Manifestos	Verena Kunz	Verena Kunz	University of Mannheim	EU Politics
abstract_0250.html	541	P4-04	Institutional Manipulation in Electoral Authoritarian Regimes: Effects on Candidate Behavior	Viktoriia Semenova	Viktoriia Semenova	University of Mannheim	Comparative Politics
abstract_0249.html	366	P4-04	Do Voters (Dis)Like Dynastic Politicians? Evidence from a Survey Experiment in Pakistan	Sergio J. Ascencio, Rabia Malik	Sergio J. Ascencio (2), Rabia Malik (1)	1. University of Essex, 2. University of New Mexico	Comparative Politics
abstract_0248.html	42	P4-04	We see Symbols But Not Saviors: Gender Representation and the Political Attitudes of Working-class Women	Yesola Kweon	Yesola Kweon	Utah State University	Comparative Politics
abstract_0247.html	145	P4-03	The Dark Side of the Mood. Candidate Evaluation, Voter Perceptions, and the Driving Role of (Dark) Personality Traits	Alessandro Nai, Katjana Gattermann	Alessandro Nai (1), Loes Aaldering (2), Frederico Ferreira da Silva (3), Diego Garzia (3), Katjana Gattermann (1)	1. University of Amsterdam, 2. Free University Amsterdam, 3. University of Lausanne	Elections, Public Opinion, and Voting Behaviour
abstract_0246.html	458	P4-03	Why So Different? An Analysis of the Cross-National Differences in the Ideological Extremism-Voter Turnout Nexus	Fernando Feitosa	Fernando Feitosa	University of Montreal	Elections, Public Opinion, and Voting Behaviour
abstract_0245.html	644	P4-03	Helping or Sanctioning? Heterogeneous Effects in the Strategic Analysis of International Compliance	Thomas König	Thomas König (1), Xiao Lu (2)	1. University of Mannheim, 2. University of Mannheim	Political Methodology
abstract_0244.html	387	P4-03	Ready for the floor? Intra-party determinants of the allocation of legislative speeches	Michael Imre	Michael Imre, Alejandro Ecker	Mannheim Centre for European Social Research, University of Mannheim	Legislative Studies and Party Politics
abstract_0243.html	599	P4-03	Uncivil mobilization or countermobilization? Explaining anti-rights collective action in Chile	Simón Escoffier, Rodolfo Disi Pavlic, Anna Clemente	Simón Escoffier (2), Rodolfo Disi Pavlic (3), Anna Clemente (1)	1. European University Institute, 2. Universidad Autónoma de Chile, 3. Temuco Catholic University	Comparative Politics
abstract_0242.html	352	P4-03	Citizens as Inadvertent Pollsters? The Effect of Contact Networks on Citizens' Forecasting Skills	Philippe Mongrain	Philippe Mongrain	Department of Political Science, Université de Montréal	Elections, Public Opinion, and Voting Behaviour
abstract_0241.html	126	P4-03	A truly European contest? Transnational media reporting on political parties’ electoral performances across EU member states	Thomas Meyer, Katjana Gattermann	Thomas Meyer (2), Katjana Gattermann (1)	1. University of Amsterdam, 2. Humboldt University Berlin	EU Politics
abstract_0240.html	503	P4-03	How Voters Predict Coalition Bargaining Outcomes	David Fortunato	David Fortunato (1,2), Randolph Stevenson (3), Seonghui Lee (4)	1. University of California, San Diego, 2. Copenhagen Business School, 3. Rice University, 4. University of Essex	Elections, Public Opinion, and Voting Behaviour
abstract_0239.html	557	P4-03	The Political Economy of Detention Centres and its Impact on Vote Choice in the 2020 U.S. Election	Eitan Tzelgov, Loren Collingwood	Eitan Tzelgov (1), Loren Collingwood (2)	1. University of East Anglia, 2. University of New Mexico	Elections, Public Opinion, and Voting Behaviour
abstract_0238.html	436	P4-03	Preferences for authoritarian rule among Eastern European citizens in response to COVID-19	Julia Schulte-Cloos	Veronica Anghel (1), Julia Schulte-Cloos (2)	1. European University Institute, 2. Ludwig Maximilian University of Munich	Elections, Public Opinion, and Voting Behaviour
abstract_0237.html	562	P4-03	It's where you live, stupid! The re-emergence of the right-wing in Spain.	Fernando De la Cuesta	Fernando De la Cuesta	Universidad Complutense de Madrid, Universidad Carlos III de Madrid	Elections, Public Opinion, and Voting Behaviour
abstract_0236.html	311	P4-03	Curb EU Enthusiasm: Categorising the Commission’s legislative ambition.	Aleksandra Khokhlova, Nikoleta Yordanova	Anastasia Ershova, Aleksandra Khokhlova, Nikoleta Yordanova	"Faculty of Social and Behavioural Sciences,
Institute of Political Science,
Leiden University"	EU Politics
abstract_0235.html	627	P4-03	Liberty, Security, and Accountability: The Rise and Fall of Illiberal Democracies	Gabriele Gratton	Gabriele Gratton, Barton Lee	UNSW Sydney	Political Economy, Public Policy and Administration
abstract_0234.html	178	P4-03	Perceived Inequality and Populism	Lukas Stoetzer	Lukas Stoetzer, Johannes Giesecke, Heike Klüver	Humboldt University of Berlin	Elections, Public Opinion, and Voting Behaviour
abstract_0233.html	261	P4-03	Screening out disagreement? Candidate selection criteria and preference diversity in parliamentary debate	Zachary Greene, Christine Sylvester	Zachary Greene, Christine Sylvester	University of Strathclyde	Legislative Studies and Party Politics
abstract_0232.html	339	P4-03	Should We Worry About Experiments in Online (Panel) Surveys?	Enrique Hernández	Enrique Hernández, Eva Anduiza, Carol Galais	Universitat Autònoma de Barcelona	Political Methodology
abstract_0231.html	479	P4-03	Gendered Communication and Women’s Political Careers in 19 Democracies	Danielle Pullan	Jens Wäckerle (1), Bruno Castanho Silva (1), Danielle Pullan (1,2)	1. Cologne Center for Comparative Politics, University of Cologne, 2. International Max Planck Research School on the Social and Political Constitution of the Economy, University of Cologne	Comparative Politics
abstract_0230.html	28	P4-03	The Growing of a Nation -- How the Masses Rally Around ONE Flag	Lucas Leemann	Patrick Emmenegger (1), Lucas Leemann (2), André Walter (1)	1. University of St Gallen, 2. University of Zürich	Comparative Politics
abstract_0229.html	334	P4-02	The Impact of Personality on Interest Group Ratings of U.S. Senators	Jeffery Mondak	Matthew Rice (1), Jeffery Mondak (1), Megan Remmel (2)	1. University of Illinois, 2. Bradley University	Legislative Studies and Party Politics
abstract_0228.html	256	P4-02	The Legitimating Power of Courts During a Crisis	Michael Nelson	Amanda Driscoll (1), Jay Krehbiel (2), Michael Nelson (3)	1. Florida State University, 2. West Virginia University, 3. Pennsylvania State University	Comparative Politics
abstract_0227.html	124	P4-02	The Advantage of Incumbents in Coalitional Bargaining	Jaakko Meriläinen	Jaakko Meriläinen (1), Janne Tukiainen (2)	1. ITAM, 2. University of Turku	Political Economy, Public Policy and Administration
abstract_0226.html	303	P4-02	Ambivalence Across the Globe: Investigating the Effects of Political Ambivalence on Vote Switching in 51 Multi-Party Systems	Klara Dentler	Klara Dentler	Graduate School of Economic and Social Sciences, University of Mannheim, GESIS – Leibniz Institute for the Social Sciences	Elections, Public Opinion, and Voting Behaviour
abstract_0225.html	189	P4-02	The Prevalence and Impact of Gender Blindness on Political Science Research	Aliza Forman-Rabinovici	Aliza Forman-Rabinovici	Tel Aviv University	Political Methodology
abstract_0224.html	152	P4-02	Foxes and Hedgehogs in Legislatures: When do MPs become specialists or generalists?	Javier Martínez-Cantó	Javier Martínez-Cantó (1), Christian Breunig (1), Laura Chaqués Bonafont (2)	1. University of Konstanz, 2. University of Barcelona	Legislative Studies and Party Politics
abstract_0223.html	347	P4-02	Taxation, Protests and Autocratic Regime Stability	Laure Bokobza	Laure Bokobza	Nuffield College, University of Oxford	Comparative Politics
abstract_0222.html	394	P4-02	Parties promise a lot, but nothing relevant? How issue ownership and voters’ priorities influence prospective pre-electoral statements	Theres Matthieß, Stefan Müller	Theres Matthieß (1), Stefan Müller (2)	1. MZES, University Mannheim, 2. University College Dublin	Political Communications
abstract_0221.html	647	P4-02	Learning Media Credibility from Facebook Data	Tom Paskhalis	Tom Paskhalis (1), Kevin Aslett (1), Cody Buntain (2), Zhanna Terechshenko (1), Joshua Tucker (1), Jonathan Nagler (1), Richard Bonneau (1)	1. New York University, 2. New Jersey Institute of Technology	Political Communications
abstract_0220.html	213	P4-02	Being populist when you need it? On the strategic usage of populist rhetoric in parliamentary debates	Markus Kollberg	Markus Kollberg	University College London, Department of Political Science	Legislative Studies and Party Politics
abstract_0219.html	641	P4-02	Cooperation and Competition: Coalition Governance and Timing of Bill Initiation	Xiao Lu, Thiago Nascimento da Silva	Thomas König (1), Xiao Lu (1), Thiago Nascimento da Silva (1), Nikoleta Yordanova (2), Galina Zudenkova (3)	1. Universität Mannheim, 2. Leiden University, 3. TU Dortmund University	Legislative Studies and Party Politics
abstract_0218.html	357	P4-02	Beyond the neighbourhood, but not too far: reconsidering the effect of the immediate environment on citizens’ perceptions of the economy	Alexandra Jabbour	Alexandra Jabbour	University of Montreal	Elections, Public Opinion, and Voting Behaviour
abstract_0217.html	159	P4-02	The Politics of Travel Restrictions Among European Countries	Thomas Pluemper, Matthew Shaik, Eric Neumayer	Thomas Pluemper (1), Matthew Shaik (1), Eric Neumayer (2)	1. Vienna University of Economics, 2. London School of Economics	Comparative Politics
abstract_0216.html	147	P4-02	Women's electoral success and mass mobilization: evidence from individual voting data	Michael Neugart	Michael Neugart	Technische Universität Darmstadt	Elections, Public Opinion, and Voting Behaviour
abstract_0215.html	305	P4-02	From bill to law: how the complexity of policy proposals evolves over the European Union’s legislative process	Maximilian Haag, Constantin Kaplaner	Maximilian Haag, Constantin Kaplaner, Steffen Hurka	LMU Munich	EU Politics
abstract_0214.html	216	P4-02	Citizens, Parties, Institutions: A Three-Stage Model of Democratic Backsliding	Marc S. Jacob	Marc S. Jacob	ETH Zurich	Comparative Politics
abstract_0213.html	506	P4-02	Inequality and support for taxing the rich in times of crisis: survey experimental evidence from 14 countries	Daniel Stegmueller	Daniel Stegmueller (1), Michael Becher (2)	1. Duke University, 2. IE University	Comparative Politics
abstract_0212.html	143	P4-02	Parties’ Representational Claims and Their Impact on Choice of Candidate Selection Methods in Israel and the Netherlands, 1977-2015.	Alona Dolinsky	Alona Dolinsky	Johns Hopkins University	Legislative Studies and Party Politics
abstract_0211.html	193	P4-02	Building Parties Top-Down and Bottom-up: Evidence from a Natural Experiment in Mexico	Mathias Poertner	Mathias Poertner	Texas A&M University	Elections, Public Opinion, and Voting Behaviour
abstract_0210.html	456	P4-02	Untangling responses to media discrimination in Sweden and Italy: When and why might media discrimination increase women’s political ambition?	Amanda Haraldsson	Amanda Haraldsson	European University Institute	Political Communications
abstract_0209.html	277	P4-02	The effect of minority language acquisition on nationalist attitudes	Oliver Strijbis	Oliver Strijbis (1), Rafael Leonisio (2), Luis Miller (3)	1. Institute of Political Science, University of Zurich, 2. National Distance Education University (UNED), 3. Institute of Public Goods and Policies of the Spanish National Research Council (CSIC)	Comparative Politics
abstract_0208.html	248	P4-01	Personality and the Policy Positions of Politicians	Lior Sheffer	Lior Sheffer (1), Eran Amsalem (2)	1. Tel Aviv University, 2. Hebrew University of Jerusalem	Legislative Studies and Party Politics
abstract_0207.html	354	P4-01	Judicial Independence under Threat: The Appointment of Judges in Clientelistic Regimes	Felix Olsowski	Felix Olsowski	University of Mannheim	Comparative Politics
abstract_0206.html	502	P4-01	Higher Quality Candidates Enjoying Larger Incumbency Advantage: Testing Incumbency Advantage Heterogeneity by Differences in Party Support	Salomo Hirvonen	Salomo Hirvonen	University of Bristol	Political Methodology
abstract_0205.html	337	P4-01	The Growing Education Gap? Secularization and Secular Cultural Voting in Western Europe (1981-2008)	Anna Pless	Anna Pless, Paul Tromp, Dick Houtman	KU Leuven	Elections, Public Opinion, and Voting Behaviour
abstract_0204.html	400	P4-01	Modeling How Elites Interpret Policy Announcements: Russia, the Federal Reserve, and the New York Times	David Sylvan, Jean-Louis Arcand, Ashley Thornton	David Sylvan, Jean-Louis Arcand, Ashley Thornton	Graduate Institute of International and Development Studies	Political Methodology
abstract_0203.html	551	P4-01	Signaling to voters? Conceptual problems of testing signaling models in legislative studies.	Sebastian Koehler	Sebastian Koehler	University of Konstanz	Legislative Studies and Party Politics
abstract_0202.html	651	P4-01	We are your pack: feminism mobilization and social change	Nerea Gándara Guerra	Nerea Gándara Guerra	European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0201.html	146	P4-01	Tweeting Politicians: A Comparative Study of Activity and Influence	Paul Bauer	Paul Bauer	Mannheim Centre for European Social Research (MZES)	Political Communications
abstract_0200.html	513	P4-01	Measuring a European Public Sphere in Political Online Search	Franziska Pradel	Franziska Pradel (1), Fabian Haak (2), Sven-Oliver Proksch (1), Philipp Schaer (2)	1. University of Cologne, 2. TH Köln – University of Applied Sciences	Political Communications
abstract_0199.html	231	P4-01	"EU Influence, Identity Politics, and Ceiling Effects in Nationalist Voting: Evidence from Slovakia"	Roman Hlatky	Roman Hlatky	University of Texas at Austin	Elections, Public Opinion, and Voting Behaviour
abstract_0198.html	314	P4-01	Vote switching and Coalition-Directed Voting: A Panel Study of Repeat Elections in Israel	Liran Harsgor	Liran Harsgor (1), Reut Itzkovitch-Malka (2), Or Tuttnauer (3)	1. University of Haifa, 2. The Open University of Israel, 3. MZES Universität Mannheim	Elections, Public Opinion, and Voting Behaviour
abstract_0197.html	155	P4-01	Economics and Elections: The future agenda	Mary Stegmaier	Mary Stegmaier (1), Michael Lewis-Beck (2), Beomseob Park (3)	1. University of Missouri, 2. University of Iowa, 3. University of Reading	Elections, Public Opinion, and Voting Behaviour
abstract_0196.html	564	P4-01	The Effect of Ambiguity and Motivated Reasoning on COVID-19 Behavioural Inferences	Mark Pickup	Mark Pickup, Vincent Hopkins	Simon Fraser University	Political Communications
abstract_0195.html	524	P4-01	Local Economic Effects of Morales’ Legacy in Bolivia: Evidence from a Regression Discontinuity Design	Sina Smid	Sina Smid	Copenhagen Business School - Department of International Economics, Government and Business	Political Economy, Public Policy and Administration
abstract_0194.html	234	P4-01	Supranationalism: Attachment to Europe and Support for Transnational Political Issues	Jeffrey Nonnemacher	Jeffrey Nonnemacher	University of Pittsburgh	EU Politics
abstract_0193.html	68	P4-01	Self-Government Interrupted: Legacies of External Rule in Brazil and Poland	Jan Vogler	Daniel Gingerich, Jan Vogler	University of Virginia	Comparative Politics
abstract_0192.html	489	P4-01	Limited Impartiality: The Effect of Quality of Government on Economic Insecurity	Diana Burlacu	Diana Burlacu	Newcastle University	Political Economy, Public Policy and Administration
abstract_0191.html	112	P4-01	Coordination of Incumbent Candidate Surplus after Electoral Reform	Jochen Rehmert	Jochen Rehmert	University of Zurich	Legislative Studies and Party Politics
abstract_0190.html	295	P4-01	Assessing the relative influence of party unity on vote choice: Evidence from a conjoint experiment	Pirmin Stöckle	Sebastian Juhl, Roni Lehrer, Pirmin Stöckle	University of Mannheim	Elections, Public Opinion, and Voting Behaviour
abstract_0189.html	174	P4-01	When gender stereotypes matter: media portrayal of Slovak presidential candidates in 2009 and 2019	Maria Zuffova	Maria Zuffova	European University Institute	Political Communications
abstract_0188.html	606	P4-01	The future of democracy in Europe	Peyman Amiri	Peyman Amiri	University of Guilan	Elections, Public Opinion, and Voting Behaviour
abstract_0187.html	422	P3-05	Observing more, but doing less? Evaluating voters’ attitudes towards intra-party deliberation using a conjoint survey experiment.	Zachary Greene	Zachary Greene, Lauren Toner	University of Strathclyde	Legislative Studies and Party Politics
abstract_0186.html	310	P3-05	Inter-judicial Coordination: the key to courts' leverage as international actors.	Gemma Lligadas Gonzalez	Gemma Lligadas Gonzalez	Oxford University, Department of Politics and International Relations, ESADE Law School, Ramon Llull University	International Relations and Conflict
abstract_0185.html	70	P3-04	Public Spending, Clarity of Responsibility and Voter Choice	Md Mujahedul Islam, Jonah I Goldberg	Md Mujahedul Islam, Jonah I Goldberg	PhD Candidate in Political Science, University of Toronto	Elections, Public Opinion, and Voting Behaviour
abstract_0184.html	623	P3-05	Severity, economic relief or transparency? Experimental evidence on support of and compliance with Covid-19 prevention measures across Europe	Constanza Sanhueza	Constanza Sanhueza, Heiko Giebler, Bernhard Weßels	WZB Berlin Social Science Center	Elections, Public Opinion, and Voting Behaviour
abstract_0183.html	645	P3-05	Leaders on Trial: Why do Countries Convict Heads of Government for Corruption?	Manoel Gehrke	Manoel Gehrke	Bocconi University	Comparative Politics
abstract_0182.html	281	P3-05	Credit Shocks and Populism	Nicolò Fraccaroli	Nicolò Fraccaroli (1), Alessandro Pizzigolotto (2)	1. Brown University, 2. Norwegian School of Economics (NHH)	Political Economy, Public Policy and Administration
abstract_0181.html	33	P3-05	Who is Effective at Amending Legislation? A Text Reuse Analysis of Which Amendments Make it into Law	Anna Palau	Anna Palau (1), Andreu Casas (2), Luz Muñoz (1)	1. University of Barcelona, 2. Vrije universiteit amsterdam	Legislative Studies and Party Politics
abstract_0180.html	466	P3-04	Making time to be informed: A panel approach to the transition to adulthood and media consumption.	Irene Sanchez-Vitores	Monica Ferrin Pereira (1), Gema García-Albacete (2), Irene Sanchez-Vitores (2)	1. Universidade da Coruña, 2. Universidad Carlos III de Madrid	Elections, Public Opinion, and Voting Behaviour
abstract_0179.html	260	P3-04	Voters' Preferences for Moral Representation	Jae-Hee Jung	Jae-Hee Jung	University of Oxford	Comparative Politics
abstract_0178.html	532	P3-04	Repression Will Be Televised: Backlash vs. Local Deterrence	Katrin Paula	Katrin Paula	Technical University of Munich	International Relations and Conflict
abstract_0177.html	614	P3-04	‘As you were saying’: Framing decisions at the Court of Justice of the European Union	Philipp Schroeder	Daniel Naurin (1), Johan Lindholm (2), Philipp Schroeder (2)	1. University of Oslo, 2. Umeå University	EU Politics
abstract_0176.html	434	P3-04	From Populism to the ‘Plandemic’: Why populists believe in COVID-19 conspiracies	Robert Huber	Jakob-Moritz Eberl (1), Robert Huber (2), Esther Greussing (3)	1. University of Vienna, 2. University of Salzburg, 3. TU Braunschweig	Elections, Public Opinion, and Voting Behaviour
abstract_0175.html	569	P3-04	The effect of terrorism on government stability	Albert Falcó-Gimeno	Albert Falcó-Gimeno	University of Barcelona	Comparative Politics
abstract_0174.html	348	P3-04	Mind and machine: rooting out corrupt politicians	Thomas Robinson	Nelson Ruiz (2), Thomas Robinson (1), Ezequiel Gonzalez Ocantos (2)	1. Durham University, 2. University of Oxford	Elections, Public Opinion, and Voting Behaviour
abstract_0173.html	186	P3-04	Testing the Backlash Argument: Voter Responses to Pro-immigration Reforms	Alexander Kustov	Alexander Kustov	Yale University	Elections, Public Opinion, and Voting Behaviour
abstract_0172.html	621	P3-04	Immigration media frames, national identity representations importance and its impact on outgroup prejudice and immigration policy preferences	Natalia Bogado	Natalia Bogado	University Koblenz Landau	Political Communications
abstract_0171.html	93	P3-04	Oversight, Inequality, and Capacity	Tara Slough	Tara Slough	New York University	Political Economy, Public Policy and Administration
abstract_0170.html	418	P3-04	Cross-lingual supervised classification of political texts	Hauke Licht	Hauke Licht	University of Zurich, Department of Political Science	Political Methodology
abstract_0169.html	478	P3-04	Populist Right Success and Mainstream Party Adaptation: The Case of Free Trade	Alex Honeker	Alex Honeker	University of Pittsburgh	Elections, Public Opinion, and Voting Behaviour
abstract_0168.html	453	P3-03	Risky War, Risky Peace: The Gender Gap in Security Preferences	Liran Harsgor	Liran Harsgor	University of Haifa	International Relations and Conflict
abstract_0167.html	204	P3-03	Representational Deprivation: Niche Parties, Niche Voters and Political Protest	Jeffrey Nonnemacher	Jeffrey Nonnemacher	University of Pittsburgh	Elections, Public Opinion, and Voting Behaviour
abstract_0166.html	465	P3-03	Start Spreading the (fake)News: Explaining how negative emotive language increases the spread of conspiracy theories online.	David Moore	David Moore	Trinity College Dublin	Political Communications
abstract_0165.html	188	P3-03	Connecting descriptive representation in elected bodies to citizen satisfaction with public services	Aliza Forman-Rabinovici	Aliza Forman-Rabinovici (1), Itai Beeri (2)	1. Tel Aviv University, 2. University of Haifa	Political Economy, Public Policy and Administration
abstract_0164.html	505	P3-03	A Distorting Mirror: Partisan preferences and misperceptions of economic inequality	Elisa Volpi	Nathalie Giger, Elisa Volpi	University of Geneva	Elections, Public Opinion, and Voting Behaviour
abstract_0163.html	530	P3-03	The Consequences of Selective Authoritarian Repression on Political Behavior	Sergi Martinez	Sergi Martinez	European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0162.html	573	P3-03	'Equal with Colleagues in a Ring': individual and compositional sex effects on judicial decisions over gender violence	Joan-Josep Vallbé	Joan-Josep Vallbé	University of Barcelona	Political Economy, Public Policy and Administration
abstract_0161.html	63	P3-03	Deliberation in international organizations: What are the benefits and limits of arguing?	Timon Forster	Timon Forster	Freie Universität Berlin	International Relations and Conflict
abstract_0160.html	368	P3-03	Greying Debt: Age and Preferences towards Public Debt	Kathleen Brown, Alessia Aspide	Matthew di Giuseppe, Kathleen Brown, Alessia Aspide, Xander Slaski	Leiden University	Political Economy, Public Policy and Administration
abstract_0159.html	408	P3-03	The causes of trust in government: evidence from conjoint experiments	Daniel Devine	Daniel Devine (1), Hannah Willis (2), Will Jennings (2), Gerry Stoker (2), Lawrence McKay (2), Jennifer Gaskell (2), Viktor Valgardsson (2)	1. St Hilda's College, University of Oxford, 2. University of Southampton	Elections, Public Opinion, and Voting Behaviour
abstract_0158.html	625	P3-03	Cooperation dilemma in Counterterrorism Operations	Francesco Baraldi	Francesco Baraldi	Università degli Studi di Milano	International Relations and Conflict
abstract_0157.html	328	P3-03	Looking the other way? Selective media exposure and the electoral punishment of corruption	Macarena Ares	Macarena Ares (1), Sofía Breitenstein (2), Enrique Hernández (2)	1. University of Zurich, 2. Universitat Autònoma de Barcelona	Elections, Public Opinion, and Voting Behaviour
abstract_0156.html	590	P3-03	European identities and migration preferences	Théoda Woeffray	Théoda Woeffray, Prof. Dr. Fabio Wasserfallen	University of Bern	EU Politics
abstract_0155.html	40	P3-03	Voluntary Sacrifice of Freedom: Why Are Some Chinese Nationals Supporting Government Censorship?	Ziyi Wu	Ziyi Wu	Massachusetts Institute of Technology	Political Communications
abstract_0154.html	251	P3-03	Bureaucrats, Politicians, and the Strategic Use of Information	Luca Bellodi	Luca Bellodi	Bocconi University	Political Economy, Public Policy and Administration
abstract_0153.html	180	P3-03	Measuring Parties' Evolving Issue Agendas	Lukas Stoetzer	Lukas Stoetzer, Heike Klüver	Humboldt University of Berlin	Political Methodology
abstract_0152.html	325	P3-03	Local Conditions and Their Interactions with Individual-Level Determinants of Populist Radical Right Voting in Germany	Theresa Bernemann	Theresa Bernemann	Johannes Gutenberg University Mainz	Elections, Public Opinion, and Voting Behaviour
abstract_0151.html	454	P3-03	Comparing Mobilization and Access: USMCA Lobbying in the U.S. and Canada	Lee Jieun, Jan Stuckatz	Lee Jieun (1), Jan Stuckatz (2)	1. University at Buffalo, 2. Institute for Advanced Study in Toulouse (IAST)	Political Economy, Public Policy and Administration
abstract_0150.html	430	P3-02	Electronic governance and citizen attitudes towards the democratic state	Sebastian Ziaja, Armin von Schiller	Sebastian Ziaja (1), Markus Geray (2), David Sebudubudu (3), Armin von Schiller (1)	1. German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE), 2. ETH Zurich, 3. University of Botswana	Political Economy, Public Policy and Administration
abstract_0149.html	149	P3-02	From electoral supply to voter perceptions: a new framework to understand ideological congruence between people and representatives	Guilherme Arbache	Guilherme Arbache	Universidade de São Paulo	Elections, Public Opinion, and Voting Behaviour
abstract_0148.html	531	P3-02	What Drives us Apart? Disentangling Political Dissimilarities as Impediments to Political Conversations among Ordinary Citizens	Simon Ellerbrock	Simon Ellerbrock	Mannheim Centre for European Social Research (MZES), University of Mannheim, Germany	Political Communications
abstract_0147.html	496	P3-02	(When) Does Citizen Engagement affect the Legitimacy of Policy-making? Evidence from a conjoint experiment	Anne Rasmussen	Anne Rasmussen, Stefanie Reher	University of Copenhagen, Leiden University, University of Bergen, University of Strathclyde	Comparative Politics
abstract_0146.html	581	P3-02	Distributive justice beliefs and the demand for redistribution: The conditioning role of quality of government	Leo Ahrens	Leo Ahrens	Free University of Berlin	Elections, Public Opinion, and Voting Behaviour
abstract_0145.html	601	P3-02	Diversionary Discourse: Media and Authoritarian Survival	Ala' Alrababa'h	Ala' Alrababa'h	Stanford University	Comparative Politics
abstract_0144.html	429	P3-02	Mobilizing the public - the importance of mediators for judicial opinion-writing	David M. Grundmanns	David M. Grundmanns	Mannheim Centre for European Social Research, University of Mannheim	Political Methodology
